agency_cd	site_no	datetime	Gage_Max   	Status_Gage_Max	Gage_min	Status_gage_min	Gage_Mean	Status_Gage_Mean
USGS	14128600	2008-10-01	76.23	A	75.93	A	76.05	A
USGS	14128600	2008-10-02	76.33	A	76.03	A	76.21	A
USGS	14128600	2008-10-03	76.53	A	76.03	A	76.33	A
USGS	14128600	2008-10-04	76.33	A	76.03	A	76.11	A
USGS	14128600	2008-10-05	76.43	A	76.13	A	76.31	A
USGS	14128600	2008-10-06	76.53	A	76.13	A	76.35	A
USGS	14128600	2008-10-07	76.63	A	76.03	A	76.38	A
USGS	14128600	2008-10-08	76.63	A	76.13	A	76.37	A
USGS	14128600	2008-10-09	76.43	A	75.93	A	76.22	A
USGS	14128600	2008-10-10	76.63	A	76.03	A	76.26	A
USGS	14128600	2008-10-11	76.63	A	76.03	A	76.23	A
USGS	14128600	2008-10-12	76.33	A	75.93	A	76.08	A
USGS	14128600	2008-10-13	76.63	A	76.13	A	76.39	A
USGS	14128600	2008-10-14	76.83	A	76.23	A	76.53	A
USGS	14128600	2008-10-15	76.63	A	76.03	A	76.42	A
USGS	14128600	2008-10-16	76.53	A	76.13	A	76.29	A
USGS	14128600	2008-10-17	76.73	A	75.93	A	76.33	A
USGS	14128600	2008-10-18	76.83	A	75.93	A	76.36	A
USGS	14128600	2008-10-19	76.63	A	76.03	A	76.18	A
USGS	14128600	2008-10-20	76.33	A	75.73	A	76.03	A
USGS	14128600	2008-10-21	76.73	A	75.63	A	76.08	A
USGS	14128600	2008-10-22	76.73	A	76.13	A	76.34	A
USGS	14128600	2008-10-23	76.53	A	75.83	A	76.19	A
USGS	14128600	2008-10-24	76.53	A	75.93	A	76.09	A
USGS	14128600	2008-10-25	76.63	A	76.13	A	76.43	A
USGS	14128600	2008-10-26	76.63	A	76.23	A	76.40	A
USGS	14128600	2008-10-27	76.63	A	75.93	A	76.27	A
USGS	14128600	2008-10-28	76.43	A	75.73	A	76.15	A
USGS	14128600	2008-10-29	76.43	A	75.93	A	76.19	A
USGS	14128600	2008-10-30	76.53	A	75.93	A	76.26	A
USGS	14128600	2008-10-31	76.53	A	75.63	A	76.09	A
USGS	14128600	2008-11-01	76.53	A	76.23	A	76.41	A
USGS	14128600	2008-11-02	76.43	A	76.03	A	76.27	A
USGS	14128600	2008-11-03	76.53	A	76.13	A	76.34	A
USGS	14128600	2008-11-04	76.53	A	75.53	A	76.11	A
USGS	14128600	2008-11-05	76.83	A	75.83	A	76.45	A
USGS	14128600	2008-11-06	76.73	A	76.03	A	76.43	A
USGS	14128600	2008-11-07	76.63	A	74.93	A	75.49	A
USGS	14128600	2008-11-08	76.23	A	74.63	A	75.23	A
USGS	14128600	2008-11-09	75.83	A	74.73	A	75.03	A
USGS	14128600	2008-11-10	76.13	A	75.13	A	75.62	A
USGS	14128600	2008-11-11	76.53	A	75.63	A	75.98	A
USGS	14128600	2008-11-12	76.53	A	75.63	A	76.13	A
USGS	14128600	2008-11-13	77.23	A	75.93	A	76.72	A
USGS	14128600	2008-11-14	77.23	A	75.33	A	76.60	A
USGS	14128600	2008-11-15	76.83	A	75.93	A	76.21	A
USGS	14128600	2008-11-16	76.33	A	75.43	A	75.91	A
USGS	14128600	2008-11-17	76.33	A	75.03	A	75.67	A
USGS	14128600	2008-11-18	76.13	A	74.93	A	75.38	A
USGS	14128600	2008-11-19	76.03	A	75.23	A	75.62	A
USGS	14128600	2008-11-20	75.43	A	74.63	A	75.12	A
