agency_cd	site_no	datetime	tz_cd	temperature_c	status_temp	barometric	status_barmetric	pressure_gas	status_pressure_gas
USGS	453845121562000	2008-02-28 00:00	PST	5.1	A	766	A	792	A
USGS	453845121562000	2008-02-28 01:00	PST	5.1	A	766	A	792	A
USGS	453845121562000	2008-02-28 02:00	PST	5.0	A	767	A	792	A
USGS	453845121562000	2008-02-28 03:00	PST	5.0	A	766	A	791	A
USGS	453845121562000	2008-02-28 04:00	PST	5.0	A	766	A	791	A
USGS	453845121562000	2008-02-28 05:00	PST	5.0	A	766	A	790	A
USGS	453845121562000	2008-02-28 06:00	PST	4.9	A	766	A	790	A
USGS	453845121562000	2008-02-28 07:00	PST	4.9	A	766	A	789	A
USGS	453845121562000	2008-02-28 08:00	PST	4.9	A	766	A	789	A
USGS	453845121562000	2008-02-28 09:00	PST	4.9	A	766	A	790	A
USGS	453845121562000	2008-02-28 10:00	PST	5.0	A	766	A	790	A
USGS	453845121562000	2008-02-28 11:00	PST	5.0	A	765	A	790	A
USGS	453845121562000	2008-02-28 12:00	PST	5.0	A	764	A	791	A
USGS	453845121562000	2008-02-28 13:00	PST	5.0	A	763	A	791	A
USGS	453845121562000	2008-02-28 14:00	PST	5.0	A	763	A	792	A
USGS	453845121562000	2008-02-28 15:00	PST	5.1	A	762	A	793	A
USGS	453845121562000	2008-02-28 16:00	PST	5.1	A	762	A	792	A
USGS	453845121562000	2008-02-28 17:00	PST	5.1	A	761	A	794	A
USGS	453845121562000	2008-02-28 18:00	PST	5.1	A	761	A	794	A
USGS	453845121562000	2008-02-28 19:00	PST	5.1	A	762	A	794	A
USGS	453845121562000	2008-02-28 20:00	PST	5.2	A	762	A	795	A
USGS	453845121562000	2008-02-28 21:00	PST	5.2	A	761	A	796	A
USGS	453845121562000	2008-02-28 22:00	PST	5.2	A	761	A	797	A
USGS	453845121562000	2008-02-28 23:00	PST	5.2	A	761	A	797	A
USGS	453845121562000	2008-02-29 00:00	PST	5.2	A	761	A	796	A
USGS	453845121562000	2008-02-29 01:00	PST	5.2	A	760	A	796	A
USGS	453845121562000	2008-02-29 02:00	PST	5.2	A	760	A	795	A
USGS	453845121562000	2008-02-29 03:00	PST	5.1	A	759	A	794	A
USGS	453845121562000	2008-02-29 04:00	PST	5.1	A	758	A	793	A
USGS	453845121562000	2008-02-29 05:00	PST	5.1	A	759	A	793	A
USGS	453845121562000	2008-02-29 06:00	PST	5.1	A	758	A	792	A
USGS	453845121562000	2008-02-29 07:00	PST	5.1	A	758	A	792	A
USGS	453845121562000	2008-02-29 08:00	PST	5.1	A	758	A	792	A
USGS	453845121562000	2008-02-29 09:00	PST	5.1	A	758	A	792	A
USGS	453845121562000	2008-02-29 10:00	PST	5.1	A	758	A	792	A
USGS	453845121562000	2008-02-29 11:00	PST	5.1	A	757	A	792	A
USGS	453845121562000	2008-02-29 12:00	PST	5.1	A	757	A	793	A
USGS	453845121562000	2008-02-29 13:00	PST	5.2	A	756	A	794	A
USGS	453845121562000	2008-02-29 14:00	PST	5.2	A	755	A	794	A
USGS	453845121562000	2008-02-29 15:00	PST	5.2	A	755	A	794	A
USGS	453845121562000	2008-02-29 16:00	PST	5.2	A	755	A	794	A
USGS	453845121562000	2008-02-29 17:00	PST	5.2	A	756	A	794	A
USGS	453845121562000	2008-02-29 18:00	PST	5.2	A	756	A	794	A
USGS	453845121562000	2008-02-29 19:00	PST	5.2	A	757	A	794	A
USGS	453845121562000	2008-02-29 20:00	PST	5.2	A	757	A	794	A
USGS	453845121562000	2008-02-29 21:00	PST	5.2	A	758	A	794	A
USGS	453845121562000	2008-02-29 22:00	PST	5.2	A	759	A	794	A
USGS	453845121562000	2008-02-29 23:00	PST	5.2	A	759	A	794	A
USGS	453845121562000	2008-03-01 00:00	PST	5.2	A	759	A	794	A
USGS	453845121562000	2008-03-01 01:00	PST	5.2	A	759	A	794	A
USGS	453845121562000	2008-03-01 02:00	PST	5.2	A	760	A	794	A
USGS	453845121562000	2008-03-01 03:00	PST	5.3	A	760	A	794	A
USGS	453845121562000	2008-03-01 04:00	PST	5.2	A	760	A	793	A
USGS	453845121562000	2008-03-01 05:00	PST	5.2	A	761	A	793	A
USGS	453845121562000	2008-03-01 06:00	PST	5.2	A	762	A	792	A
USGS	453845121562000	2008-03-01 07:00	PST	5.2	A	762	A	791	A
USGS	453845121562000	2008-03-01 08:00	PST	5.2	A	763	A	791	A
USGS	453845121562000	2008-03-01 09:00	PST	5.2	A	764	A	790	A
USGS	453845121562000	2008-03-01 10:00	PST	5.2	A	764	A	790	A
USGS	453845121562000	2008-03-01 11:00	PST	5.2	A	765	A	790	A
USGS	453845121562000	2008-03-01 12:00	PST	5.2	A	765	A	790	A
USGS	453845121562000	2008-03-01 13:00	PST	5.2	A	766	A	790	A
USGS	453845121562000	2008-03-01 14:00	PST	5.2	A	767	A	790	A
USGS	453845121562000	2008-03-01 15:00	PST	5.2	A	767	A	791	A
USGS	453845121562000	2008-03-01 16:00	PST	5.2	A	768	A	791	A
USGS	453845121562000	2008-03-01 17:00	PST	5.2	A	768	A	792	A
USGS	453845121562000	2008-03-01 18:00	PST	5.2	A	769	A	791	A
USGS	453845121562000	2008-03-01 19:00	PST	5.2	A	770	A	791	A
USGS	453845121562000	2008-03-01 20:00	PST	5.2	A	770	A	792	A
USGS	453845121562000	2008-03-01 21:00	PST	5.2	A	771	A	791	A
USGS	453845121562000	2008-03-01 22:00	PST	5.2	A	772	A	792	A
USGS	453845121562000	2008-03-01 23:00	PST	5.2	A	773	A	791	A
USGS	453845121562000	2008-03-02 00:00	PST	5.2	A	773	A	791	A
USGS	453845121562000	2008-03-02 01:00	PST	5.2	A	774	A	791	A
USGS	453845121562000	2008-03-02 02:00	PST	5.2	A	774	A	791	A
USGS	453845121562000	2008-03-02 03:00	PST	5.2	A	774	A	791	A
USGS	453845121562000	2008-03-02 04:00	PST	5.2	A	775	A	790	A
USGS	453845121562000	2008-03-02 05:00	PST	5.2	A	775	A	790	A
USGS	453845121562000	2008-03-02 06:00	PST	5.2	A	775	A	790	A
USGS	453845121562000	2008-03-02 07:00	PST	5.2	A	775	A	789	A
USGS	453845121562000	2008-03-02 08:00	PST	5.2	A	776	A	789	A
USGS	453845121562000	2008-03-02 09:00	PST	5.2	A	776	A	789	A
USGS	453845121562000	2008-03-02 10:00	PST	5.2	A	776	A	789	A
USGS	453845121562000	2008-03-02 11:00	PST	5.2	A	775	A	789	A
USGS	453845121562000	2008-03-02 12:00	PST	5.2	A	775	A	789	A
USGS	453845121562000	2008-03-02 13:00	PST	5.2	A	774	A	789	A
USGS	453845121562000	2008-03-02 14:00	PST	5.2	A	774	A	789	A
USGS	453845121562000	2008-03-02 15:00	PST	5.2	A	774	A	790	A
USGS	453845121562000	2008-03-02 16:00	PST	5.2	A	773	A	790	A
USGS	453845121562000	2008-03-02 17:00	PST	5.3	A	773	A	790	A
USGS	453845121562000	2008-03-02 18:00	PST	5.3	A	773	A	792	A
USGS	453845121562000	2008-03-02 19:00	PST	5.3	A	773	A	793	A
USGS	453845121562000	2008-03-02 20:00	PST	5.3	A	772	A	794	A
USGS	453845121562000	2008-03-02 21:00	PST	5.3	A	772	A	794	A
USGS	453845121562000	2008-03-02 22:00	PST	5.3	A	772	A	794	A
USGS	453845121562000	2008-03-02 23:00	PST	5.3	A	771	A	794	A
USGS	453845121562000	2008-03-03 00:00	PST	5.3	A	771	A	794	A
USGS	453845121562000	2008-03-03 01:00	PST	5.3	A	770	A	793	A
USGS	453845121562000	2008-03-03 02:00	PST	5.3	A	770	A	793	A
USGS	453845121562000	2008-03-03 03:00	PST	5.3	A	769	A	793	A
USGS	453845121562000	2008-03-03 04:00	PST	5.3	A	768	A	792	A
USGS	453845121562000	2008-03-03 05:00	PST	5.2	A	768	A	792	A
USGS	453845121562000	2008-03-03 06:00	PST	5.2	A	767	A	791	A
USGS	453845121562000	2008-03-03 07:00	PST	5.2	A	767	A	791	A
USGS	453845121562000	2008-03-03 08:00	PST	5.2	A	767	A	791	A
USGS	453845121562000	2008-03-03 09:00	PST	5.2	A	766	A	790	A
USGS	453845121562000	2008-03-03 10:00	PST	5.2	A	766	A	790	A
USGS	453845121562000	2008-03-03 11:00	PST	5.2	A	766	A	790	A
USGS	453845121562000	2008-03-03 12:00	PST	5.2	A	765	A	790	A
USGS	453845121562000	2008-03-03 13:00	PST	5.2	A	765	A	790	A
USGS	453845121562000	2008-03-03 14:00	PST	5.2	A	765	A	790	A
USGS	453845121562000	2008-03-03 15:00	PST	5.2	A	764	A	790	A
USGS	453845121562000	2008-03-03 16:00	PST	5.2	A	764	A	790	A
USGS	453845121562000	2008-03-03 17:00	PST	5.2	A	765	A	791	A
USGS	453845121562000	2008-03-03 18:00	PST	5.2	A	765	A	791	A
USGS	453845121562000	2008-03-03 19:00	PST	5.2	A	766	A	791	A
USGS	453845121562000	2008-03-03 20:00	PST	5.2	A	766	A	790	A
USGS	453845121562000	2008-03-03 21:00	PST	5.2	A	767	A	790	A
USGS	453845121562000	2008-03-03 22:00	PST	5.2	A	767	A	790	A
USGS	453845121562000	2008-03-03 23:00	PST	5.2	A	767	A	789	A
USGS	453845121562000	2008-03-04 00:00	PST	5.2	A	767	A	789	A
USGS	453845121562000	2008-03-04 01:00	PST	5.2	A	767	A	788	A
USGS	453845121562000	2008-03-04 02:00	PST	5.2	A	767	A	788	A
USGS	453845121562000	2008-03-04 03:00	PST	5.2	A	768	A	788	A
USGS	453845121562000	2008-03-04 04:00	PST	5.2	A	768	A	787	A
USGS	453845121562000	2008-03-04 05:00	PST	5.2	A	768	A	787	A
USGS	453845121562000	2008-03-04 06:00	PST	5.1	A	768	A	786	A
USGS	453845121562000	2008-03-04 07:00	PST	5.1	A	769	A	786	A
USGS	453845121562000	2008-03-04 08:00	PST	5.1	A	769	A	785	A
USGS	453845121562000	2008-03-04 09:00	PST	5.1	A	769	A	785	A
USGS	453845121562000	2008-03-04 10:00	PST	5.1	A	769	A	784	A
USGS	453845121562000	2008-03-04 11:00	PST	5.1	A	769	A	784	A
USGS	453845121562000	2008-03-04 12:00	PST	5.2	A	770	A	784	A
USGS	453845121562000	2008-03-04 13:00	PST	5.2	A	770	A	784	A
USGS	453845121562000	2008-03-04 14:00	PST	5.2	A	769	A	785	A
USGS	453845121562000	2008-03-04 15:00	PST	5.2	A	769	A	785	A
USGS	453845121562000	2008-03-04 16:00	PST	5.2	A	769	A	785	A
USGS	453845121562000	2008-03-04 17:00	PST	5.2	A	769	A	786	A
USGS	453845121562000	2008-03-04 18:00	PST	5.3	A	769	A	786	A
USGS	453845121562000	2008-03-04 19:00	PST	5.3	A	770	A	786	A
USGS	453845121562000	2008-03-04 20:00	PST	5.3	A	769	A	786	A
USGS	453845121562000	2008-03-04 21:00	PST	5.3	A	770	A	787	A
